a propósito,168953
a saber,1042155
ahora,18767
antes,61609
apenas,71146
asi,909269
ahunque,862040
así,41314
así que,1012072
aunque,28984
aunque sea,1008924
bienque,905982
ca,40717
car,764
como,26177
como quiera que,25513
conque,118019
cuando,20016
cuanto,109971
cuanto quiera que,25556
dado que,102218
de ahí,547387
de ahí que,547381
de suerte que,999317
destas,1012696
destos,1012697
e,18202
empero,79337
ergo,68106
es decir,11815
et,27041
excepto,41231
i,26000
luego,62616
maguer,1007607
malgrado,909300
mas,36063
menos,21915
nada más,977800
nen,25857
ni,33683
o,6960
o sea,975254
onde,26175
ora,74074
para que,991660
paraque,905980
pero,12491
pero eso sí,1037334
por eso,167236
por más que,1007171
por si acaso,578681
por que,112527
porque,26283
porsia,1043998
poró,110242
pu,40685
pues,111299
puesque,905981
puesto que,547376
quando,26317
que,17494
que patatín que patatán,1035222
que si patatín que si patatán,1035221
quepor,922484
quier,901466
quiera que no,25554
salvo,41241
si,42807
si bien,1012293
si y solo si,870651
siempre y cuando,1017148
sino,105685
siquier,111431
siquiera,111423
tanto,109978
u,15889
xq,1000990
y,12492
ya,19556
ya que,547380
é,54335
ó,92425
Categoría:ES:Locuciones conjuntivas,62456
